0,1,67.54
1,2,68.34
2,3,64.32
3,4,94.82
4,5,76.7
5,6,58.51
6,7,64.81
7,8,58.38
8,9,45.34
9,10,22.68
10,11,59.41
11,12,84.18
12,13,59.61
13,14,69.14
14,15,62.55
15,16,78.32
16,17,81.35
17,18,57.89
18,19,73.4
19,20,37.7
20,21,54.11
21,22,45.52
22,23,57.22
23,24,46.94
24,25,51.15
25,26,26.35
26,27,86.16
27,28,86.64
28,29,49.75
29,30,33.73
30,31,18.65
31,32,56.36
32,33,57.71
33,34,36.31
34,35,41.85
35,36,26.02
36,37,64.29
37,38,47.89
38,39,57.2
39,40,52.22
40,41,74.72
41,42,38.67
42,43,80.95
43,44,46.29
44,45,47.81
45,46,40.44
46,47,20.64
47,48,74.55
48,49,45.88
49,50,43.07
50,51,60.78
51,52,30.49
52,53,66.67
53,54,55.11
54,55,62.18
55,56,56.38
56,57,67.69
57,58,42.77
58,59,76.36
59,60,33.21
60,61,19.07
61,62,46.79
62,63,57.75
63,64,62.39
64,65,40.22
65,66,38.77
66,67,70.34
67,68,34.36
68,69,48.09
69,70,53.6
70,71,52.58
71,72,30.58
72,73,62.22
73,74,74.87
74,75,36.84
75,76,35.63
76,77,81.03
77,78,62.8
78,79,28.9
79,80,69.61
80,81,58.78
81,82,48.41
82,83,80.75
83,84,37.94
84,85,27.3
85,86,73.85
86,87,44.58
87,88,80.84
88,89,36.98
89,90,42.61
90,91,77.8
91,92,54.52
92,93,48.1
93,94,44.83
94,95,34.26
95,96,70.31
96,97,36.21
97,98,41.41
98,99,55.94
99,100,37.44
100,101,77.32
101,102,12.88
102,103,46.52
103,104,58.97
104,105,19.15
105,106,55.91
106,107,55.15
107,108,44.97
108,109,28.43
109,110,34.77
110,111,23.59
111,112,59.16
112,113,57.24
113,114,64.58
114,115,74.52
115,116,66.37
116,117,74.4
117,118,43.49
118,119,59.32
119,120,86.54
120,121,80.45
121,122,76.56
122,123,46.39
123,124,21.09
124,125,64.25
125,126,47.53
126,127,44.43
127,128,41.88
128,129,31.32
129,130,53.72
130,131,42.27
131,132,82.82
132,133,59.95
133,134,75.69
134,135,77.62
135,136,71.9
136,137,42.74
137,138,34.76
138,139,73.69
139,140,74.86
140,141,32.55
141,142,51.98
142,143,63.1
143,144,21.63
144,145,65.34
145,146,52.23
146,147,63.75
147,148,36.54
148,149,20.92
149,150,54.71
150,151,78.26
151,152,65.86
152,153,69.83
153,154,73.77
154,155,45.62
155,156,26.47
156,157,49.86
157,158,74.97
158,159,75.57
159,160,71.3
160,161,60.46
161,162,49.4
162,163,76.22
163,164,53.56
164,165,69.9
165,166,80.56
166,167,33.46
167,168,31.25
168,169,45.44
169,170,62.51
170,171,58.6
171,172,64.22
172,173,50.6
173,174,47.15
174,175,45.92
175,176,51.55
176,177,56.07
177,178,54.6
178,179,69.09
179,180,66.58
180,181,76.95
181,182,57.57
182,183,54.57
183,184,43.49
184,185,72.69
185,186,57.03
